epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.86679,0.69884,2.30316,1.07948,0.36149,0.81009,0.37099,0.29222,0.63645,8.77367,0.9666,0.00021435,0.00021435,0.00021435
2,13.243,0.67373,0.92226,1.0123,0.15585,0.88703,0.23459,0.20151,0.62767,inf,0.98356,0.000438604,0.000438604,0.000438604
3,19.6669,0.67151,0.78904,1.01641,0.26782,0.71077,0.35321,0.28609,0.73796,15.208,1.08656,0.000658332,0.000658332,0.000658332
4,26.1357,0.75814,0.76783,1.05783,0.69823,0.7064,0.75123,0.59644,0.80074,2.49456,1.07535,0.000873532,0.000873532,0.000873532
5,32.6645,0.76757,0.81815,1.06405,0.00743,0.59284,0.00763,0.00508,1.57974,inf,3.29186,0.00108421,0.00108421,0.00108421
6,39.0525,0.79507,0.84497,1.0652,0.2551,0.54073,0.22603,0.1656,1.07983,12.5205,1.83443,0.00129035,0.00129035,0.00129035
7,45.4172,0.78884,0.77958,1.08583,0.14974,0.20296,0.08246,0.05822,1.95601,5.97333,2.63486,0.00134412,0.00134412,0.00134412
8,51.7598,0.71697,0.77543,1.04192,0.30181,0.36393,0.22342,0.17259,1.59769,45.6408,1.92449,0.00132997,0.00132997,0.00132997
9,58.2073,0.72602,0.67082,1.0613,0.33305,0.42846,0.0777,0.05718,1.17682,33.6215,2.58245,0.00131582,0.00131582,0.00131582
10,64.7879,0.69984,0.69348,1.05091,0.19299,0.1618,0.03213,0.02215,1.48934,inf,2.68904,0.00130168,0.00130168,0.00130168
11,71.3413,0.71244,0.64954,1.03612,0.11701,0.37045,0.06863,0.05129,1.19414,21.823,1.54233,0.00128753,0.00128753,0.00128753
12,77.6948,0.72532,0.65857,1.04972,0.56613,0.43238,0.35243,0.28796,1.08458,2.52565,1.41117,0.00127338,0.00127338,0.00127338
13,84.0162,0.69234,0.60351,1.02486,0.65172,0.75139,0.64059,0.54162,0.69116,1.07404,1.09682,0.00125923,0.00125923,0.00125923
14,90.3382,0.70048,0.59569,1.02372,0.73016,0.87346,0.78864,0.66766,0.64224,0.83057,1.02396,0.00124509,0.00124509,0.00124509
15,96.7463,0.68655,0.55981,1.01172,0.90253,0.85297,0.932,0.78454,0.62257,0.5866,1.00089,0.00123094,0.00123094,0.00123094
16,103.164,0.69938,0.62116,1.03034,0.90856,0.91877,0.94054,0.79423,0.63557,0.56637,1.01903,0.00121679,0.00121679,0.00121679
17,109.578,0.68009,0.56789,1.02952,0.90452,0.90276,0.94786,0.80637,0.60451,0.56414,0.99001,0.00120265,0.00120265,0.00120265
18,116.075,0.67181,0.58182,1.01228,0.87267,0.89105,0.93808,0.81228,0.58873,0.58159,0.97909,0.0011885,0.0011885,0.0011885
19,122.498,0.63414,0.60217,0.99234,0.90463,0.90485,0.93551,0.77342,0.67131,0.5959,1.01817,0.00117435,0.00117435,0.00117435
20,128.827,0.67134,0.58512,1.00917,0.89895,0.87967,0.93885,0.80146,0.61298,0.511,0.98103,0.00116021,0.00116021,0.00116021
21,135.231,0.62812,0.52028,0.99444,0.932,0.92417,0.95086,0.81508,0.62011,0.4832,0.99864,0.00114606,0.00114606,0.00114606
22,141.634,0.66515,0.60317,1.03122,0.95158,0.9083,0.95916,0.82634,0.62554,0.47707,0.98849,0.00113191,0.00113191,0.00113191
23,148.048,0.63687,0.57594,0.99566,0.88641,0.91961,0.9546,0.833,0.60189,0.51685,0.97356,0.00111776,0.00111776,0.00111776
24,154.525,0.62213,0.55723,0.9989,0.91429,0.88592,0.91776,0.7966,0.60863,0.64223,0.98185,0.00110362,0.00110362,0.00110362
25,160.934,0.6479,0.57177,1.00053,0.92518,0.80333,0.89078,0.77652,0.67063,0.67328,1.05426,0.00108947,0.00108947,0.00108947
26,167.252,0.62582,0.5384,0.98904,0.92167,0.88752,0.9465,0.81638,0.61858,0.52332,1.00522,0.00107532,0.00107532,0.00107532
27,173.574,0.61118,0.50653,0.98528,0.88353,0.88245,0.96009,0.82652,0.57825,0.51697,0.95066,0.00106118,0.00106118,0.00106118
28,179.958,0.61484,0.50438,0.99167,0.91557,0.94606,0.96368,0.84,0.56351,0.42805,0.95017,0.00104703,0.00104703,0.00104703
29,186.364,0.57665,0.5103,0.97061,0.9213,0.94117,0.95862,0.83702,0.57668,0.40494,0.95803,0.00103288,0.00103288,0.00103288
30,192.68,0.60862,0.51197,1.00265,0.89918,0.95006,0.96426,0.84888,0.56147,0.42171,0.95432,0.00101873,0.00101873,0.00101873
31,199.186,0.60486,0.51958,1.00636,0.93176,0.9346,0.97144,0.85389,0.55606,0.40503,0.93921,0.00100459,0.00100459,0.00100459
32,205.598,0.6106,0.48316,0.99143,0.94343,0.9524,0.97113,0.84559,0.57631,0.41325,0.944,0.00099044,0.00099044,0.00099044
33,211.929,0.61932,0.49492,0.98952,0.95135,0.93256,0.96603,0.84597,0.54932,0.4191,0.94699,0.000976293,0.000976293,0.000976293
34,218.254,0.61948,0.5144,0.99463,0.94592,0.9504,0.98007,0.85545,0.54274,0.38817,0.93701,0.000962146,0.000962146,0.000962146
35,224.725,0.63046,0.50045,0.99954,0.93243,0.95873,0.97057,0.85445,0.53153,0.39072,0.94412,0.000947999,0.000947999,0.000947999
36,231.111,0.60264,0.51189,0.98479,0.95905,0.94317,0.96915,0.85223,0.54273,0.41201,0.93302,0.000933851,0.000933851,0.000933851
37,237.441,0.57342,0.44928,0.95897,0.93668,0.95411,0.96692,0.84335,0.57401,0.41344,0.95966,0.000919704,0.000919704,0.000919704
38,243.913,0.5983,0.49744,0.9862,0.9357,0.9668,0.96654,0.84948,0.56613,0.39742,0.96797,0.000905557,0.000905557,0.000905557
39,250.293,0.57891,0.46759,0.98167,0.93909,0.94404,0.96882,0.8492,0.54955,0.4036,0.94031,0.00089141,0.00089141,0.00089141
40,256.677,0.58043,0.47403,0.97579,0.94611,0.92433,0.96903,0.85261,0.57534,0.38245,0.95122,0.000877263,0.000877263,0.000877263
41,262.997,0.5894,0.44904,0.98903,0.95128,0.95302,0.97441,0.85189,0.55874,0.37456,0.94608,0.000863116,0.000863116,0.000863116
42,269.371,0.55254,0.42886,0.95575,0.95387,0.94677,0.97375,0.86481,0.5388,0.36085,0.94202,0.000848969,0.000848969,0.000848969
43,275.785,0.57046,0.46352,0.96971,0.94365,0.89204,0.96284,0.85208,0.52857,0.41134,0.94187,0.000834822,0.000834822,0.000834822
44,282.166,0.57642,0.43158,0.97509,0.91346,0.94403,0.9568,0.84857,0.53237,0.41592,0.94481,0.000820675,0.000820675,0.000820675
45,288.585,0.57526,0.43376,0.98107,0.92103,0.95811,0.96109,0.85081,0.50345,0.3513,0.91894,0.000806528,0.000806528,0.000806528
46,294.909,0.5669,0.45421,0.98487,0.92205,0.96914,0.97254,0.86957,0.52667,0.3534,0.92776,0.00079238,0.00079238,0.00079238
47,301.334,0.56231,0.45168,0.96384,0.95241,0.90803,0.9707,0.86179,0.54892,0.43389,0.95352,0.000778233,0.000778233,0.000778233
48,307.651,0.54736,0.41681,0.94741,0.93285,0.94569,0.97101,0.86689,0.53213,0.38944,0.94653,0.000764086,0.000764086,0.000764086
49,313.968,0.5353,0.43603,0.95999,0.92153,0.96767,0.97414,0.87014,0.5214,0.37486,0.93132,0.000749939,0.000749939,0.000749939
50,320.392,0.53837,0.42496,0.96046,0.92286,0.94907,0.96203,0.86419,0.52456,0.37933,0.94086,0.000735792,0.000735792,0.000735792
51,326.795,0.56205,0.43854,0.97561,0.90027,0.95699,0.96478,0.86352,0.52027,0.38796,0.93822,0.000721645,0.000721645,0.000721645
52,333.187,0.52661,0.40259,0.9503,0.94003,0.9376,0.96288,0.8597,0.54379,0.38305,0.94305,0.000707498,0.000707498,0.000707498
53,339.51,0.55291,0.41535,0.97609,0.93728,0.94866,0.96811,0.86845,0.52231,0.34656,0.92191,0.000693351,0.000693351,0.000693351
54,345.893,0.52522,0.42255,0.95504,0.93829,0.9506,0.96919,0.87036,0.52971,0.35726,0.93669,0.000679204,0.000679204,0.000679204
55,352.231,0.57687,0.4452,0.98529,0.94577,0.92649,0.95956,0.8505,0.5379,0.39197,0.94494,0.000665057,0.000665057,0.000665057
56,358.612,0.52654,0.42809,0.95755,0.93215,0.94603,0.96418,0.86057,0.52487,0.38039,0.95398,0.000650909,0.000650909,0.000650909
57,364.927,0.53441,0.39431,0.96613,0.93847,0.93719,0.96328,0.85739,0.55226,0.37955,0.95887,0.000636762,0.000636762,0.000636762
58,371.334,0.55436,0.44079,0.9634,0.91741,0.95666,0.96515,0.86671,0.5312,0.36955,0.94374,0.000622615,0.000622615,0.000622615
59,377.652,0.54975,0.44922,0.96844,0.92913,0.95577,0.96423,0.85544,0.53176,0.37032,0.94444,0.000608468,0.000608468,0.000608468
60,383.974,0.55289,0.47091,0.97648,0.93623,0.97145,0.97069,0.86216,0.56467,0.34034,0.98297,0.000594321,0.000594321,0.000594321
61,390.302,0.57611,0.43937,0.98039,0.93236,0.95233,0.97098,0.8645,0.54306,0.37138,0.96242,0.000580174,0.000580174,0.000580174
62,396.631,0.53512,0.42833,0.96004,0.9058,0.94748,0.9703,0.86599,0.55291,0.36984,0.97237,0.000566027,0.000566027,0.000566027
63,402.948,0.52229,0.37726,0.95688,0.91022,0.92068,0.96455,0.86041,0.55122,0.44492,0.97587,0.00055188,0.00055188,0.00055188
64,409.276,0.50306,0.40682,0.95599,0.92534,0.94473,0.96957,0.85749,0.54969,0.38017,0.95016,0.000537733,0.000537733,0.000537733
